number,symbol,yahoo_symbol,enabled
1,HDFCBANK,HDFCBANK.NS,YES
2,BSE,BSE.NS,YES
3,RELIANCE,RELIANCE.NS,YES
4,BHARTIARTL,BHARTIARTL.NS,YES
5,TCS,TCS.NS,YES
6,PATANJALI,PATANJALI.NS,YES
7,AUROPHARMA,AUROPHARMA.NS,YES
8,PAYTM,PAYTM.NS,YES
9,INFY,INFY.NS,YES
10,ETERNAL,ETERNAL.NS,YES
11,LAURUSLABS,LAURUSLABS.NS,YES
12,OFSS,OFSS.NS,YES
13,IDEA,IDEA.NS,YES
14,LICHSGFIN,LICHSGFIN.NS,YES
15,HCLTECH,HCLTECH.NS,YES
16,ICICIBANK,ICICIBANK.NS,YES
17,KOTAKBANK,KOTAKBANK.NS,YES
18,APOLLOHOSP,APOLLOHOSP.NS,YES
19,HINDALCO,HINDALCO.NS,YES
20,ADANIPORTS,ADANIPORTS.NS,YES
21,SOLARINDS,SOLARINDS.NS,YES
22,ADANIENT,ADANIENT.NS,YES
23,JIOFIN,JIOFIN.NS,YES
24,GMRAIRPORT,GMRAIRPORT.NS,YES
25,SBIN,SBIN.NS,YES
26,SWIGGY,SWIGGY.NS,YES
27,WIPRO,WIPRO.NS,YES
28,NMDC,NMDC.NS,YES
29,TATASTEEL,TATASTEEL.NS,YES
30,VBL,VBL.NS,YES
31,MCX,MCX.NS,YES
32,HEROMOTOCO,HEROMOTOCO.NS,YES
33,TITAN,TITAN.NS,YES
34,DRREDDY,DRREDDY.NS,YES
35,BEL,BEL.NS,YES
36,BAJFINANCE,BAJFINANCE.NS,YES
37,IDFCFIRSTB,IDFCFIRSTB.NS,YES
38,INDUSTOWER,INDUSTOWER.NS,YES
39,ITC,ITC.NS,YES
40,CDSL,CDSL.NS,YES
41,DIXON,DIXON.NS,YES
42,TMPV,TMPV.NS,YES
43,HINDUNILVR,HINDUNILVR.NS,YES
44,BHEL,BHEL.NS,YES
45,LT,LT.NS,YES
46,BIOCON,BIOCON.NS,YES
47,INDIGO,INDIGO.NS,YES
48,HAL,HAL.NS,YES
49,AXISBANK,AXISBANK.NS,YES
50,ADANIPOWER,ADANIPOWER.NS,YES
51,CANBK,CANBK.NS,YES
52,BANKBARODA,BANKBARODA.NS,YES
53,KAYNES,KAYNES.NS,YES
54,HDFCLIFE,HDFCLIFE.NS,YES
55,DLF,DLF.NS,YES
56,COFORGE,COFORGE.NS,YES
57,SUNPHARMA,SUNPHARMA.NS,YES
58,MAZDOCK,MAZDOCK.NS,YES
59,AMBUJACEM,AMBUJACEM.NS,YES
60,PFC,PFC.NS,YES
61,HINDZINC,HINDZINC.NS,YES
62,SHRIRAMFIN,SHRIRAMFIN.NS,YES
63,LTM,LTM.NS,YES
64,RBLBANK,RBLBANK.NS,YES
65,MARUTI,MARUTI.NS,YES
66,M&M,M&M.NS,YES
67,DMART,DMART.NS,YES
68,TECHM,TECHM.NS,YES
69,SONACOMS,SONACOMS.NS,YES
70,CUMMINSIND,CUMMINSIND.NS,YES
71,MUTHOOTFIN,MUTHOOTFIN.NS,YES
72,EICHERMOT,EICHERMOT.NS,YES
73,INDHOTEL,INDHOTEL.NS,YES
74,MANKIND,MANKIND.NS,YES
75,LUPIN,LUPIN.NS,YES
76,WAAREEENER,WAAREEENER.NS,YES
77,PREMIERENE,PREMIERENE.NS,YES
78,POLYCAB,POLYCAB.NS,YES
79,OBEROIRLTY,OBEROIRLTY.NS,YES
80,ICICIGI,ICICIGI.NS,YES
81,JSWSTEEL,JSWSTEEL.NS,YES
82,BHARATFORG,BHARATFORG.NS,YES
83,JUBLFOOD,JUBLFOOD.NS,YES
84,DELHIVERY,DELHIVERY.NS,YES
85,DIVISLAB,DIVISLAB.NS,YES
86,TVSMOTOR,TVSMOTOR.NS,YES
87,MOTHERSON,MOTHERSON.NS,YES
88,POWERINDIA,POWERINDIA.NS,YES
89,TORNTPHARM,TORNTPHARM.NS,YES
90,FEDERALBNK,FEDERALBNK.NS,YES
91,PNB,PNB.NS,YES
92,PERSISTENT,PERSISTENT.NS,YES
93,YESBANK,YESBANK.NS,YES
94,APLAPOLLO,APLAPOLLO.NS,YES
95,NAUKRI,NAUKRI.NS,YES
96,TRENT,TRENT.NS,YES
97,ATHERENERG,ATHERENERG.NS,YES
98,JSWENERGY,JSWENERGY.NS,YES
99,RECLTD,RECLTD.NS,YES
100,SIEMENS,SIEMENS.NS,YES
101,ADANIGREEN,ADANIGREEN.NS,YES
102,CGPOWER,CGPOWER.NS,YES
103,HAVELLS,HAVELLS.NS,YES
104,GLENMARK,GLENMARK.NS,YES
105,CHOLAFIN,CHOLAFIN.NS,YES
106,SUZLON,SUZLON.NS,YES
107,ADANIENSOL,ADANIENSOL.NS,YES
108,GODREJPROP,GODREJPROP.NS,YES
109,IOC,IOC.NS,YES
110,ULTRACEMCO,ULTRACEMCO.NS,YES
111,HDFCAMC,HDFCAMC.NS,YES
112,LICI,LICI.NS,YES
113,BAJAJ-AUTO,BAJAJ-AUTO.NS,YES
114,RVNL,RVNL.NS,YES
115,NYKAA,NYKAA.NS,YES
116,COALINDIA,COALINDIA.NS,YES
117,MARICO,MARICO.NS,YES
118,VOLTAS,VOLTAS.NS,YES
119,KALYANKJIL,KALYANKJIL.NS,YES
120,AUBANK,AUBANK.NS,YES
121,UPL,UPL.NS,YES
122,ZYDUSLIFE,ZYDUSLIFE.NS,YES
123,INDUSINDBK,INDUSINDBK.NS,YES
124,LTF,LTF.NS,YES
125,BLUESTARCO,BLUESTARCO.NS,YES
126,UNITDSPR,UNITDSPR.NS,YES
127,POWERGRID,POWERGRID.NS,YES
128,ABCAPITAL,ABCAPITAL.NS,YES
129,NESTLEIND,NESTLEIND.NS,YES
130,CONCOR,CONCOR.NS,YES
131,NATIONALUM,NATIONALUM.NS,YES
132,KPITTECH,KPITTECH.NS,YES
133,PNBHOUSING,PNBHOUSING.NS,YES
134,TATAELXSI,TATAELXSI.NS,YES
135,KFINTECH,KFINTECH.NS,YES
136,COCHINSHIP,COCHINSHIP.NS,YES
137,ANGELONE,ANGELONE.NS,YES
138,IREDA,IREDA.NS,YES
139,NTPC,NTPC.NS,YES
140,VEDL,VEDL.NS,YES
141,GRASIM,GRASIM.NS,YES
142,LODHA,LODHA.NS,YES
143,RADICO,RADICO.NS,YES
144,TATACONSUM,TATACONSUM.NS,YES
145,MAXHEALTH,MAXHEALTH.NS,YES
146,SBILIFE,SBILIFE.NS,YES
147,BDL,BDL.NS,YES
148,ONGC,ONGC.NS,YES
149,KEI,KEI.NS,YES
150,ASHOKLEY,ASHOKLEY.NS,YES
151,BAJAJFINSV,BAJAJFINSV.NS,YES
152,CIPLA,CIPLA.NS,YES
153,HYUNDAI,HYUNDAI.NS,YES
154,POLICYBZR,POLICYBZR.NS,YES
155,JINDALSTEL,JINDALSTEL.NS,YES
156,DABUR,DABUR.NS,YES
157,SAIL,SAIL.NS,YES
158,GODREJCP,GODREJCP.NS,YES
159,PAGEIND,PAGEIND.NS,YES
160,TATAPOWER,TATAPOWER.NS,YES
161,COLPAL,COLPAL.NS,YES
162,HINDPETRO,HINDPETRO.NS,YES
163,SHREECEM,SHREECEM.NS,YES
164,MFSL,MFSL.NS,YES
165,MPHASIS,MPHASIS.NS,YES
166,UNOMINDA,UNOMINDA.NS,YES
167,SAGILITY,SAGILITY.NS,YES
168,GAIL,GAIL.NS,YES
169,NAM-INDIA,NAM-INDIA.NS,YES
170,ABB,ABB.NS,YES
171,BANDHANBNK,BANDHANBNK.NS,YES
172,ICICIPRULI,ICICIPRULI.NS,YES
173,UNIONBANK,UNIONBANK.NS,YES
174,FORTIS,FORTIS.NS,YES
175,ASIANPAINT,ASIANPAINT.NS,YES
176,BANKINDIA,BANKINDIA.NS,YES
177,ALKEM,ALKEM.NS,YES
178,BRITANNIA,BRITANNIA.NS,YES
179,PETRONET,PETRONET.NS,YES
180,PRESTIGE,PRESTIGE.NS,YES
181,IRFC,IRFC.NS,YES
182,VMM,VMM.NS,YES
183,GVT&D,GVT&D.NS,YES
184,BOSCHLTD,BOSCHLTD.NS,YES
185,BPCL,BPCL.NS,YES
186,NHPC,NHPC.NS,YES
187,CAMS,CAMS.NS,YES
188,AMBER,AMBER.NS,YES
189,SBICARD,SBICARD.NS,YES
190,GODFRYPHLP,GODFRYPHLP.NS,YES
191,SUPREMEIND,SUPREMEIND.NS,YES
192,PIIND,PIIND.NS,YES
193,PGEL,PGEL.NS,YES
194,IEX,IEX.NS,YES
195,CROMPTON,CROMPTON.NS,YES
196,360ONE,360ONE.NS,YES
197,MOTILALOFS,MOTILALOFS.NS,YES
198,INDIANB,INDIANB.NS,YES
199,SRF,SRF.NS,YES
200,FORCEMOT,FORCEMOT.NS,YES
201,OIL,OIL.NS,YES
202,PHOENIXLTD,PHOENIXLTD.NS,YES
203,PIDILITIND,PIDILITIND.NS,YES
204,NBCC,NBCC.NS,YES
205,ASTRAL,ASTRAL.NS,YES
206,MAHABANK,MAHABANK.NS,YES
207,INOXWIND,INOXWIND.NS,YES
