number,symbol,yahoo_symbol,enabled,exchange,asset_type
1,AAPL,AAPL,YES,NASDAQ,Stock
2,MSFT,MSFT,YES,NASDAQ,Stock
3,NVDA,NVDA,YES,NASDAQ,Stock
4,AMD,AMD,YES,NASDAQ,Stock
5,AVGO,AVGO,YES,NASDAQ,Stock
6,GOOGL,GOOGL,YES,NASDAQ,Stock
7,AMAT,AMAT,YES,NASDAQ,Stock
8,LRCX,LRCX,YES,NASDAQ,Stock
9,META,META,YES,NASDAQ,Stock
10,TSLA,TSLA,YES,NASDAQ,Stock
11,BA,BA,YES,NYSE,Stock
12,JNJ,JNJ,YES,NYSE,Stock
13,LLY,LLY,YES,NYSE,Stock
14,CAT,CAT,YES,NYSE,Stock
15,AMZN,AMZN,YES,NASDAQ,Stock
16,WMT,WMT,YES,NASDAQ,Stock
17,GS,GS,YES,NYSE,Stock
18,JPM,JPM,YES,NYSE,Stock
19,COST,COST,YES,NASDAQ,Stock
20,HD,HD,YES,NYSE,Stock
21,PG,PG,YES,NYSE,Stock
22,MU,MU,YES,NASDAQ,Stock
23,AXP,AXP,YES,NYSE,Stock
24,V,V,YES,NYSE,Stock
25,ABBV,ABBV,YES,NYSE,Stock
26,AMGN,AMGN,YES,NASDAQ,Stock
27,MA,MA,YES,NYSE,Stock
28,GC1!,GC=F,YES,COMEX,Futures proxy
29,SI1!,SI=F,YES,COMEX,Futures proxy
30,ORCL,ORCL,YES,NYSE,Stock
31,SPCX,SPCX,YES,NASDAQ,Stock
32,PLTR,PLTR,YES,NASDAQ,Stock
33,SNDK,SNDK,YES,NASDAQ,Stock
34,APP,APP,YES,NASDAQ,Stock
35,NFLX,NFLX,YES,NASDAQ,Stock
36,BAC,BAC,YES,NYSE,Stock
37,KO,KO,YES,NYSE,Stock
38,MRK,MRK,YES,NYSE,Stock
39,BRK.A,BRK-A,YES,NYSE,Stock
40,BRK.B,BRK-B,YES,NYSE,Stock
41,XOM,XOM,YES,NYSE,Stock
42,CVX,CVX,YES,NYSE,Stock
43,C,C,YES,NYSE,Stock
44,RTX,RTX,YES,NYSE,Stock
45,DELL,DELL,YES,NYSE,Stock
46,TMO,TMO,YES,NYSE,Stock
47,PANW,PANW,YES,NASDAQ,Stock
